blueADCChamp,blueJungleChamp,blueMiddleChamp,blueSupportChamp,blueTopChamp,redADCChamp,redJungleChamp,redMiddleChamp,redSupportChamp,redTopChamp,blueBan1,redBan1,blueBan2,redBan2,blueBan3,redBan3,blueBan4,redBan4,blueBan5,redBan5,rResult
Varus,Dr. Mundo,Orianna,Karma,Aatrox,Sivir,Rek'Sai,Syndra,Leona,Gwen,Renekton,Aphelios,Ashe,Jayce,Diana,Ambessa,Nautilus,Jarvan IV,Rakan,Nocturne,1
Sivir,Nocturne,Yone,Leona,Rumble,Varus,Pantheon,Ahri,Bard,Sion,Jayce,Akali,Xin Zhao,Jarvan IV,Ryze,Qiyana,LeBlanc,Nautilus,Sylas,Ezreal,1
Corki,Malphite,Azir,Leona,Vayne,Sivir,Dr. Mundo,Ryze,Bard,Renekton,Jayce,Ambessa,Varus,Rumble,Orianna,Akali,Neeko,Gnar,Ezreal,Alistar,1
Lucian,Pantheon,Taliyah,Braum,K'Sante,Aphelios,Vi,Ahri,Renata Glasc,Rumble,Malphite,Ziggs,Lulu,Jayce,Neeko,Varus,Yunara,Bard,Nautilus,Xayah,0
Varus,Nocturne,Aurora,Rakan,Sion,Sivir,Jarvan IV,Ryze,Nautilus,K'Sante,Neeko,Azir,Rumble,Ambessa,Qiyana,Orianna,Braum,Alistar,Bard,Gnar,0
Ziggs,Ambessa,Ryze,Leona,Riven,Aphelios,Wukong,Orianna,Bard,K'Sante,Braum,Varus,Gwen,Jayce,Jax,Akali,Thresh,Yone,Renekton,Irelia,0
Jhin,Qiyana,Ryze,Alistar,Ambessa,Sivir,Xin Zhao,Anivia,Nautilus,Renekton,Skarner,Jayce,Orianna,Rumble,K'Sante,Varus,Yunara,Aphelios,Corki,Caitlyn,0
Varus,Xin Zhao,Taliyah,Seraphine,Kayle,Sivir,Gwen,Yone,Rakan,K'Sante,Sion,Jarvan IV,Ryze,Jayce,Sylas,Malphite,Leona,Orianna,Nautilus,Neeko,0
Ashe,Ambessa,Orianna,Seraphine,Cho'Gath,Ezreal,Aatrox,Azir,Rakan,Renekton,Jayce,Garen,Rumble,Mordekaiser,Qiyana,Varus,Malphite,Sion,Irelia,K'Sante,1
Varus,Gwen,Orianna,Alistar,Ambessa,Sivir,Vi,Syndra,Rakan,K'Sante,Lee Sin,Zyra,Ryze,Jarvan IV,Caitlyn,Malphite,Lulu,Nocturne,Braum,Neeko,0
Ashe,Vi,Orianna,Braum,Ambessa,Aphelios,Xin Zhao,Aurora,Lulu,Sion,Ryze,Yunara,Akali,Rumble,Jayce,Varus,Viego,Kai'Sa,Tahm Kench,Miss Fortune,1
Yunara,Jayce,Orianna,Nautilus,Riven,Aphelios,Gwen,Syndra,Rakan,Zaahen,Rumble,Varus,Lee Sin,Ambessa,Wukong,Akali,Lulu,Nocturne,Braum,Neeko,0
Varus,Wukong,Taliyah,Leona,Kennen,Sivir,Jarvan IV,Veigar,Alistar,Rumble,Skarner,LeBlanc,Ryze,Ahri,Neeko,Qiyana,Kassadin,Braum,Vladimir,Rakan,1
Varus,Wukong,Syndra,Poppy,Aatrox,Caitlyn,Jarvan IV,Viktor,Rell,Rumble,Skarner,Ambessa,Vladimir,Gwen,Ryze,Orianna,Kassadin,Braum,Akali,Neeko,0
Lucian,Trundle,Ryze,Milio,Gwen,Yunara,Wukong,Orianna,Lulu,Fiora,Akali,Irelia,Jayce,Varus,Ambessa,Braum,Rakan,Nami,Riven,Nautilus,1
Varus,Skarner,Hwei,Rell,Ryze,Sivir,Xin Zhao,Taliyah,Nautilus,Mordekaiser,Neeko,Jayce,Yorick,Rumble,Ambessa,Syndra,Lulu,Braum,K'Sante,Karma,0
Xayah,Jayce,Azir,Rakan,K'Sante,Yunara,Qiyana,Viktor,Bard,Sion,Neeko,Varus,Karma,Ryze,Caitlyn,Orianna,Aurora,Gwen,LeBlanc,Taliyah,1
Caitlyn,Taliyah,Galio,Elise,Ambessa,Lucian,Vi,Syndra,Braum,Jax,Lee Sin,Varus,Jarvan IV,LeBlanc,Nocturne,Jayce,Orianna,Renekton,Ahri,Yone,0
Sivir,Vi,Taliyah,Rakan,Rumble,Corki,Trundle,Ryze,Leona,Sion,Neeko,Jayce,Orianna,Poppy,Varus,Yunara,Ezreal,Aphelios,Lucian,Kai'Sa,0
Yunara,Nocturne,Orianna,Rakan,Renekton,Corki,Ambessa,Syndra,Zyra,Gnar,Neeko,Qiyana,Rumble,Varus,Malphite,Jayce,Gwen,Jarvan IV,Kennen,Xin Zhao,0
Varus,Xin Zhao,Galio,Rell,Ryze,Sivir,Jarvan IV,Syndra,Rakan,Camille,Orianna,Bard,Irelia,Skarner,Jayce,Neeko,Braum,Alistar,Ambessa,Leona,1
Caitlyn,Nidalee,Azir,Neeko,Ambessa,Varus,Wukong,Syndra,Nautilus,Kennen,Swain,Jayce,Lee Sin,Elise,Jarvan IV,Taliyah,Renekton,LeBlanc,Orianna,Galio,0
Varus,Volibear,Malzahar,Rell,Akali,Ezreal,Jarvan IV,LeBlanc,Bard,Rumble,Orianna,Skarner,Jayce,Ryze,Sivir,Galio,Aphelios,Neeko,Braum,Rakan,1
Corki,Jayce,Azir,Alistar,Renekton,Ashe,Jarvan IV,LeBlanc,Rakan,Gnar,Qiyana,Riven,Neeko,Wukong,Varus,Orianna,Braum,Rell,Seraphine,Nautilus,0
Yunara,Qiyana,Ryze,Lulu,Rumble,Smolder,Jarvan IV,Syndra,Nami,Ambessa,Lux,Taliyah,Irelia,Jayce,Neeko,Varus,Corki,Lee Sin,Lucian,Vi,1
Yunara,Gwen,Viktor,Braum,K'Sante,Corki,Lee Sin,Orianna,Rakan,Rumble,Kennen,Ambessa,Syndra,Naafiri,Neeko,Varus,LeBlanc,Ryze,Akali,Galio,0
Ezreal,Sylas,Sion,Neeko,Jax,Yunara,Jarvan IV,Orianna,Lulu,K'Sante,LeBlanc,Rumble,Akali,Ryze,Varus,Ambessa,Kai'Sa,Gnar,Nami,Gwen,1
Sivir,Ambessa,Galio,Rakan,K'Sante,Varus,Wukong,Ryze,Poppy,Sion,Azir,Jayce,Neeko,Gwen,Syndra,Yunara,Renata Glasc,Lulu,Braum,Leona,1
Ashe,Jax,Ahri,Seraphine,Zaahen,Aphelios,Jarvan IV,Galio,Braum,Akali,Orianna,Varus,K'Sante,LeBlanc,Syndra,Ryze,Ambessa,Azir,Taliyah,Malphite,0
Caitlyn,Taliyah,Galio,Elise,Gnar,Ashe,Vi,Hwei,Seraphine,Vladimir,Skarner,Jayce,Poppy,Azir,Lee Sin,Jarvan IV,Ahri,K'Sante,Orianna,Sion,0
Varus,Pantheon,Akali,Renata Glasc,Sion,Xayah,Jarvan IV,Lux,Braum,Aatrox,Irelia,Aurora,Fiora,Ryze,Gwen,Jayce,Rakan,Vi,Zaahen,Wukong,1
Sivir,Wukong,Cassiopeia,Bard,Rek'Sai,Corki,Lee Sin,Ryze,Nautilus,Renekton,Jayce,Varus,Jarvan IV,Akali,Orianna,Ambessa,Viego,Syndra,Xin Zhao,Gnar,1
Ezreal,Xin Zhao,Orianna,Karma,Rumble,Jhin,Jarvan IV,Azir,Neeko,Ambessa,Jayce,Malphite,Bard,Varus,Nocturne,Vi,Sivir,Yunara,Kai'Sa,Nami,1
Kai'Sa,Vi,Ryze,Nautilus,Sion,Corki,Wukong,Anivia,Alistar,Zaahen,Malphite,Jayce,Varus,Bard,Gwen,Aphelios,Rek'Sai,Yunara,Nami,Ashe,0
Varus,Malphite,Azir,Alistar,Jayce,Sivir,Wukong,Syndra,Karma,Gwen,Diana,Ryze,Yunara,Orianna,Poppy,Ambessa,Rakan,Jax,Bard,Aatrox,1
Yunara,Pantheon,Akali,Rell,Rumble,Corki,Jarvan IV,Azir,Nautilus,Aurora,Jayce,Malphite,Aatrox,Ambessa,Varus,Orianna,K'Sante,Neeko,Sion,Aphelios,0
Sivir,Aatrox,Ryze,Bard,Renekton,Varus,Jarvan IV,Cassiopeia,Neeko,Sion,Orianna,Malphite,Jayce,Qiyana,Rumble,Ambessa,K'Sante,Pantheon,Alistar,Wukong,1
Ezreal,Nocturne,Orianna,Karma,Renekton,Corki,Jarvan IV,Azir,Nami,Aurora,Ziggs,Malphite,Jayce,Akali,Rumble,Varus,Gnar,Yunara,Gwen,Lucian,1
Yunara,Wukong,Azir,Alistar,Gwen,Kai'Sa,Nocturne,Orianna,Rakan,Renekton,Jayce,Taliyah,Rumble,Akali,Jarvan IV,Varus,Neeko,Nami,Bard,Ezreal,1
Ezreal,Pantheon,Taliyah,Poppy,Sion,Varus,Vi,Ryze,Rell,K'Sante,Rumble,Malphite,Ambessa,Neeko,Jayce,Jarvan IV,Zaahen,Sivir,Olaf,Bard,0
Varus,Viego,Ryze,Alistar,K'Sante,Sivir,Jarvan IV,Anivia,Braum,Irelia,Lux,Viktor,Ambessa,Bard,Orianna,Rumble,Poppy,Malphite,Leona,Jayce,0
Kai'Sa,Gwen,Orianna,Leona,K'Sante,Caitlyn,Skarner,Kassadin,Karma,Rumble,Poppy,Ambessa,Neeko,Yunara,Malphite,Jayce,Braum,Rakan,Azir,Nautilus,1
Ashe,Jax,Anivia,Seraphine,Jayce,Yunara,Xin Zhao,Ryze,Braum,Kennen,Lee Sin,Varus,Swain,Yorick,Neeko,Ambessa,Orianna,LeBlanc,Syndra,Akali,0
Sivir,Xin Zhao,Taliyah,Neeko,Rumble,Varus,Qiyana,Azir,Bard,K'Sante,Caitlyn,Ryze,Elise,Vi,Nidalee,Jayce,Sion,Lee Sin,Galio,Jax,1
Corki,Jayce,Orianna,Zyra,Sion,Ezreal,Jarvan IV,Ahri,Seraphine,Fiora,Irelia,Ryze,Camille,Alistar,Sivir,Varus,Gwen,Nami,Aatrox,Rumble,1
Varus,Vi,LeBlanc,Rakan,Ambessa,Jinx,Kha'Zix,Azir,Nautilus,K'Sante,Neeko,Lee Sin,Qiyana,Ryze,Elise,Nocturne,Bard,Renata Glasc,Thresh,Sion,1
Kai'Sa,Ambessa,Galio,Nautilus,K'Sante,Aphelios,Jarvan IV,Orianna,Alistar,Gwen,Poppy,Jayce,Azir,Zilean,Neeko,Yunara,Varus,Lucian,Braum,Caitlyn,1
Varus,Viego,Viktor,Bard,Sion,Sivir,Jayce,Akali,Neeko,K'Sante,LeBlanc,Rumble,Ambessa,Ryze,Orianna,Qiyana,Gwen,Galio,Taliyah,Gnar,1
Ezreal,Jayce,Taliyah,Nautilus,Rumble,Yunara,Jarvan IV,Orianna,Bard,Ornn,Qiyana,Varus,Kha'Zix,Ambessa,Neeko,Galio,Kai'Sa,Yone,Lucian,Akali,1
Yunara,Nocturne,Orianna,Rell,Sion,Aphelios,Naafiri,Ryze,Lulu,Renekton,Neeko,Varus,Qiyana,Poppy,Gwen,Vi,Lee Sin,Rakan,Jarvan IV,Rumble,1
Yunara,Qiyana,Varus,Rell,Sion,Sivir,Sylas,Azir,Neeko,Yorick,Caitlyn,Lee Sin,Orianna,Ryze,Gwen,Ahri,Kai'Sa,Viktor,Miss Fortune,Aurora,0
Corki,Ivern,Orianna,Leona,Ambessa,Lucian,Trundle,Azir,Nami,Irelia,Qiyana,Ryze,Rumble,Alistar,Jayce,Varus,Aphelios,Neeko,Caitlyn,Poppy,1
Yunara,Wukong,Orianna,Lulu,Yorick,Kai'Sa,Jarvan IV,Azir,Neeko,Renekton,Qiyana,Seraphine,Rumble,Varus,Jayce,Ambessa,Aphelios,Gnar,Caitlyn,K'Sante,1
Ezreal,Lee Sin,Orianna,Nautilus,Aatrox,Kai'Sa,Zed,Ryze,Rell,Sion,Aurora,Vi,Jayce,Varus,Akali,Neeko,Ashe,Karma,Jhin,Leona,1
Ashe,Jax,Ahri,Braum,Zaahen,Yunara,Vi,Galio,Lulu,Renekton,Rumble,Jayce,Neeko,Illaoi,Jarvan IV,Varus,Ryze,Seraphine,Taliyah,Nautilus,1
Yunara,Jarvan IV,Ryze,Alistar,Volibear,Corki,Wukong,Orianna,Rakan,Ambessa,Rumble,Malphite,Nocturne,Neeko,Varus,Akali,Nami,Lulu,Poppy,Renekton,0
Kai'Sa,Jayce,Galio,Rell,Renekton,Miss Fortune,Vi,Aurora,Neeko,Gnar,Rumble,Ezreal,Varus,Nocturne,Malphite,Pantheon,Nautilus,Poppy,Bard,Leona,0
Kai'Sa,Viego,Ryze,Neeko,Sion,Yunara,Lee Sin,Syndra,Lulu,K'Sante,Ambessa,Qiyana,Orianna,Varus,Gwen,Jayce,Xin Zhao,Talon,Vi,Jarvan IV,1
Varus,Xin Zhao,Ryze,Nautilus,Ambessa,Caitlyn,Taliyah,Galio,Elise,Gwen,Qiyana,Nocturne,Orianna,Jarvan IV,Kha'Zix,Jayce,Cassiopeia,Leona,Renekton,Braum,1
Varus,Jayce,Azir,Leona,Sion,Miss Fortune,Nocturne,Orianna,Rakan,Rumble,Malphite,Ambessa,Ryze,Jarvan IV,Qiyana,Galio,Bard,Aurora,Sivir,K'Sante,1
Ashe,Aatrox,Akali,Seraphine,Jax,Corki,Dr. Mundo,Viktor,Nami,K'Sante,Ryze,Ambessa,Jarvan IV,Gwen,Vi,Aurora,Syndra,Malphite,Sylas,Gnar,0
Aphelios,Pantheon,Cassiopeia,Thresh,Ornn,Sivir,Trundle,Ryze,Alistar,Rumble,Malphite,Varus,Ambessa,Jayce,Poppy,Wukong,Ashe,Ezreal,Kalista,Lulu,0
Corki,Malphite,Syndra,Rakan,Gnar,Jhin,Jarvan IV,Ryze,Alistar,Renekton,Jayce,Qiyana,Varus,Rumble,Orianna,Akali,Ezreal,Nami,Sivir,Xin Zhao,1
Corki,Wukong,Azir,Nami,Rumble,Ezreal,Volibear,Orianna,Karma,K'Sante,Jayce,Jarvan IV,Varus,Pantheon,Nocturne,Akali,Neeko,Bard,Lucian,Nautilus,1
Kai'Sa,Vi,Ryze,Bard,Rek'Sai,Jhin,Qiyana,Taliyah,Alistar,Sion,Jayce,Pantheon,Varus,Jarvan IV,Ambessa,Renekton,Xin Zhao,Yunara,Dr. Mundo,Gwen,0
Senna,Ambessa,Syndra,Rell,Aurora,Aphelios,Diana,Yone,Nautilus,Renekton,Pantheon,Jayce,Neeko,Varus,Akali,Cassiopeia,Jarvan IV,Lulu,Viktor,Lucian,0
Yunara,Nocturne,Orianna,Bard,Renekton,Xayah,Wukong,Azir,Rakan,Gnar,Aurora,Varus,Malphite,Jayce,Pantheon,Yone,Ezreal,Lulu,Nautilus,Neeko,0
Aphelios,Wukong,Taliyah,Blitzcrank,Zaahen,Yunara,Dr. Mundo,Ryze,Lulu,Sion,Jayce,Malphite,Rumble,Vi,Akali,Varus,Qiyana,Thresh,Pantheon,Gwen,0
Aphelios,Xin Zhao,Azir,Lulu,Sion,Ziggs,Qiyana,Yone,Rakan,Renekton,Malphite,Jayce,Varus,Orianna,Neeko,Yunara,Alistar,Poppy,Leona,Bard,1
Sivir,Pantheon,Orianna,Neeko,Zaahen,Varus,Wukong,Azir,Karma,Sion,Jayce,Akali,Lucian,Qiyana,Malphite,Nocturne,Renekton,Bard,Alistar,Gwen,1
Yunara,Aatrox,Ahri,Nami,Renekton,Zeri,Xin Zhao,Galio,Lulu,Gnar,Malphite,Qiyana,Lucian,Jayce,Aphelios,Akali,Syndra,Rakan,K'Sante,Alistar,0
Ezreal,Nocturne,Orianna,Leona,Sion,Kai'Sa,Jarvan IV,Taliyah,Nautilus,Rumble,Jayce,Pantheon,Varus,Ambessa,Ryze,Akali,Corki,Neeko,Xayah,Bard,0
Yunara,Wukong,Syndra,Leona,Gnar,Aphelios,Qiyana,Ryze,Poppy,Renekton,Rumble,Vi,Orianna,Varus,Jayce,Malphite,Thresh,Sion,Lulu,Nautilus,1
Kalista,Pantheon,Galio,Renata Glasc,Aurora,Varus,Aatrox,Akali,Alistar,Sion,Jayce,Malphite,Orianna,Vi,Nocturne,Rumble,Lee Sin,Nautilus,Sejuani,Lucian,1
Yunara,Vi,Taliyah,Nautilus,Kennen,Aphelios,Wukong,Ryze,Thresh,Rumble,Jayce,Varus,Orianna,Malphite,Jarvan IV,Pantheon,Bard,Neeko,Corki,Kai'Sa,0
Kai'Sa,Ambessa,Akali,Rakan,Gwen,Yunara,Volibear,Azir,Braum,Darius,Taliyah,Aphelios,Orianna,Ryze,Diana,Qiyana,Karma,Rell,Poppy,Neeko,0
Vayne,Sion,Syndra,Braum,Varus,Sivir,Wukong,Orianna,Leona,Jax,Neeko,Aurelion Sol,Akali,Dr. Mundo,Ambessa,LeBlanc,Rumble,Jarvan IV,Rell,Alistar,1
Varus,Jarvan IV,Orianna,Galio,Aatrox,Sivir,Nocturne,Aurelion Sol,Rakan,Gwen,Rek'Sai,Jayce,Diana,Ambessa,Aurora,Dr. Mundo,Lulu,Singed,Karma,Leona,0
Caitlyn,Xin Zhao,Ryze,Bard,Renekton,Yunara,Ambessa,Veigar,Nautilus,Ornn,Aurelion Sol,Neeko,Dr. Mundo,Rumble,Malphite,Akali,Anivia,Elise,Zoe,Karma,0
Corki,Xin Zhao,Hwei,Leona,Ornn,Varus,Pantheon,Ahri,Alistar,Renekton,Zed,Heimerdinger,Malphite,Ryze,Caitlyn,Orianna,Jax,Sylas,Taliyah,Kennen,0
Yunara,Vi,Ahri,Lulu,Rek'Sai,Xayah,Pantheon,Sylas,Rakan,Sion,Jayce,Malphite,Varus,Azir,Ambessa,Rumble,Syndra,Gwen,Taliyah,Galio,1
Ezreal,Aatrox,Syndra,Alistar,Kennen,Sivir,Jarvan IV,Aurora,Leona,Jax,Jayce,Kalista,Varus,Poppy,Karma,Malphite,Nautilus,Akali,Braum,LeBlanc,0
Yunara,Vi,Yone,Neeko,Aurora,Corki,Xin Zhao,Azir,Rakan,K'Sante,Jayce,Ambessa,Varus,Orianna,Rumble,Malphite,Nami,Taliyah,Bard,Akali,0
Jhin,Aatrox,Galio,Bard,Gnar,Miss Fortune,Jarvan IV,Orianna,Rell,Renekton,Rumble,Ambessa,Varus,Sion,Jayce,Ryze,Sivir,Ezreal,Kalista,Lucian,0
Kai'Sa,Xin Zhao,Ahri,Neeko,Gnar,Smolder,Pantheon,Aurora,Rell,Renekton,Ryze,Gwen,Jarvan IV,Ambessa,Malphite,Sylas,Bard,Kennen,Yunara,Syndra,0
Ezreal,Wukong,Orianna,Bard,Renekton,Yunara,Jarvan IV,Sylas,Rakan,Gnar,Sion,Rumble,Akali,Taliyah,Varus,Jayce,Alistar,Thresh,Neeko,Corki,0
Corki,Xin Zhao,Ryze,Bard,Rumble,Yunara,Jarvan IV,Syndra,Lulu,K'Sante,Malphite,Qiyana,Pantheon,Jayce,Orianna,Varus,Neeko,Nautilus,Rakan,Aphelios,1
Kalista,Jarvan IV,Aurora,Renata Glasc,Rumble,Lucian,Pantheon,Galio,Nami,Ambessa,Malphite,Jayce,Azir,Varus,Ryze,Orianna,Ezreal,Corki,Yunara,Aphelios,1
Yunara,Xin Zhao,Annie,Karma,Rek'Sai,Kai'Sa,Jax,Viktor,Rakan,Ambessa,Rumble,Azir,Aphelios,Orianna,Sion,Syndra,Neeko,Lulu,Nautilus,Braum,1
Corki,Jarvan IV,Ryze,Nami,Ambessa,Lucian,Vi,Anivia,Milio,Rumble,Aurora,Varus,Malphite,Jayce,Azir,Orianna,Nautilus,Bard,Neeko,Karma,0
Ezreal,Jarvan IV,Orianna,Leona,Ambessa,Corki,Xin Zhao,Azir,Nautilus,K'Sante,Jayce,Malphite,Rumble,Varus,Nocturne,Akali,Renekton,Yunara,Nami,Neeko,0
Corki,Vi,Taliyah,Rell,K'Sante,Jhin,Wukong,Ryze,Nautilus,Rumble,Jayce,Varus,Neeko,Azir,Orianna,Akali,Bard,Yunara,Poppy,Kai'Sa,0
Kai'Sa,Lee Sin,Sylas,Neeko,Aurora,Yunara,Jarvan IV,Ahri,Alistar,Yasuo,Malphite,Jayce,Akali,Orianna,Ambessa,Varus,Yorick,Nocturne,Kennen,Pantheon,0
Ezreal,Vi,Taliyah,Rell,Ambessa,Corki,Jarvan IV,Ryze,Nautilus,Rumble,Jayce,Akali,Varus,Qiyana,Orianna,Pantheon,Lucian,Yunara,Neeko,Aphelios,0
Lucian,Vi,Cassiopeia,Milio,K'Sante,Corki,Xin Zhao,Ryze,Nami,Gnar,Jayce,Pantheon,Varus,Neeko,Ambessa,Renekton,Xayah,Bard,Sivir,Yunara,0
Kai'Sa,Jarvan IV,Taliyah,Neeko,Ambessa,Corki,Xin Zhao,Azir,Bard,K'Sante,Jayce,Malphite,Rumble,Vi,Orianna,Varus,Poppy,Yunara,Nami,Lulu,0
Kai'Sa,Qiyana,Yone,Alistar,Renekton,Corki,Lee Sin,Azir,Rell,K'Sante,Jayce,Malphite,Orianna,Varus,Ambessa,Pantheon,Nami,Neeko,Poppy,Sejuani,0
Varus,Vi,Orianna,Nautilus,Irelia,Ezreal,Wukong,Ryze,Leona,Rumble,Jayce,Jarvan IV,Ambessa,Lee Sin,K'Sante,Nocturne,Karma,Akali,Anivia,Galio,1
Corki,Jarvan IV,Taliyah,Rakan,Zaahen,Yunara,Elise,Galio,Braum,Camille,Nocturne,Jayce,Lee Sin,Ambessa,Akali,K'Sante,Lulu,Renekton,Poppy,Alistar,0
Jhin,Ivern,Tristana,Rell,Rumble,Ashe,Pantheon,Veigar,Alistar,Renekton,Rek'Sai,Ambessa,Diana,Jayce,Sivir,Varus,Braum,Syndra,Janna,Leona,0
Varus,Dr. Mundo,Syndra,Nautilus,Renekton,Jhin,Pantheon,Orianna,Rell,Gwen,Rumble,Akali,Azir,Naafiri,Jarvan IV,Wukong,Gnar,Alistar,Kennen,Braum,1
Sivir,Wukong,Syndra,Neeko,Rumble,Yunara,Jarvan IV,Azir,Lulu,K'Sante,Zed,Heimerdinger,Varus,Orianna,Malphite,Ryze,Volibear,Corki,Karma,Jhin,0
Corki,Vi,Ryze,Neeko,Ambessa,Yunara,Jarvan IV,Taliyah,Rakan,K'Sante,Akali,Rumble,Qiyana,Azir,Naafiri,Jayce,Darius,Bard,Alistar,Gnar,0
Kai'Sa,Wukong,Ryze,Neeko,Renekton,Corki,Nocturne,Orianna,Bard,K'Sante,Varus,Akali,Jayce,Jarvan IV,Ambessa,Rumble,Lucian,Nautilus,Karma,Ezreal,1
Aphelios,Ambessa,Zoe,Milio,Rumble,Lucian,Qiyana,Azir,Nami,Yorick,Jayce,Jarvan IV,Varus,Akali,Malphite,Nautilus,Kennen,Kalista,Sejuani,Ashe,0
Varus,Xin Zhao,Sylas,Alistar,Renekton,Ezreal,Wukong,Aurora,Leona,Gnar,Malphite,Jayce,Akali,Orianna,Yone,Azir,K'Sante,Viktor,Poppy,Neeko,0
Yunara,Vi,Taliyah,Lulu,Ambessa,Lucian,Pantheon,Ryze,Nami,Rumble,Jayce,Malphite,Orianna,Xin Zhao,Azir,Varus,Aphelios,Neeko,Corki,Bard,0
Aphelios,Nocturne,Azir,Milio,Sion,Corki,Qiyana,Orianna,Neeko,K'Sante,Malphite,Jayce,Akali,Jarvan IV,Yone,Bard,Gwen,Rakan,Kai'Sa,Karma,0
Aphelios,Viego,Ryze,Rell,Aatrox,Smolder,Vi,Syndra,Thresh,Ambessa,Gwen,Jayce,Orianna,Lee Sin,Azir,Akali,Braum,Lulu,Alistar,Nautilus,0
Lucian,Diana,Aurelion Sol,Rakan,Zaahen,Sivir,Naafiri,Ahri,Braum,Dr. Mundo,Gwen,Jayce,Orianna,Lee Sin,Azir,Akali,Jax,Karma,Olaf,Lulu,0
Caitlyn,Aatrox,Ryze,Leona,Ambessa,Lucian,Kindred,Vel'Koz,Nami,Zac,Nunu & Willump,Gwen,Malphite,Jayce,Varus,Corki,Orianna,Karma,Renekton,Lulu,0
Corki,Nidalee,Varus,Nautilus,Renekton,Aphelios,Zyra,Hwei,Rakan,Zaahen,Nunu & Willump,Gwen,Malphite,Jayce,Gnar,Yone,Thresh,Azir,Alistar,Neeko,0
Corki,Jarvan IV,Taliyah,Bard,K'Sante,Yunara,Lee Sin,Ryze,Nautilus,Gnar,Nocturne,Jayce,Orianna,Varus,Rumble,Azir,Wukong,Aphelios,Pantheon,Kai'Sa,1
Ashe,Vi,Ryze,Nautilus,Pantheon,Caitlyn,Morgana,Anivia,Leona,Zaahen,Diana,Aphelios,Varus,Neeko,Gwen,Taliyah,Ornn,Fiora,Cassiopeia,Aatrox,1
Ezreal,Xin Zhao,Orianna,Bard,K'Sante,Yunara,Dr. Mundo,Syndra,Leona,Zaahen,Jarvan IV,Azir,Ambessa,Varus,Ryze,Jayce,Nautilus,Karma,Rell,Rakan,0
Smolder,Vi,Taliyah,Karma,Ornn,Yunara,Dr. Mundo,Azir,Lulu,Aatrox,Zac,Ambessa,Poppy,Orianna,Varus,Ryze,Jarvan IV,Aphelios,Xin Zhao,Sivir,0
Varus,Vi,Syndra,Neeko,K'Sante,Corki,Xin Zhao,Ryze,Nami,Zaahen,Rumble,Bel'Veth,Malphite,Aphelios,Kai'Sa,Sion,Jarvan IV,Nautilus,Trundle,Alistar,1
Aphelios,Jarvan IV,Ryze,Nami,Aatrox,Caitlyn,Dr. Mundo,Ahri,Neeko,Gnar,Rell,Varus,Jayce,Azir,Rumble,Ambessa,Orianna,Pyke,Syndra,Lulu,0
Kai'Sa,Vi,Aurora,Rell,K'Sante,Yunara,Wukong,Taliyah,Alistar,Gwen,Azir,Jayce,Ambessa,Varus,Renekton,Rumble,Orianna,Akali,Galio,Syndra,1
Aphelios,Xin Zhao,Syndra,Alistar,Malphite,Sivir,Volibear,Yone,Braum,Zaahen,Zac,Ambessa,Poppy,Ryze,Jayce,Varus,Sion,Milio,Bard,Neeko,1
Smolder,Volibear,Ryze,Alistar,K'Sante,Jinx,Wukong,Orianna,Lulu,Poppy,Renekton,Zac,Syndra,Gwen,Braum,Varus,Olaf,Caitlyn,Yunara,Corki,1
Sivir,Ambessa,Taliyah,Lulu,K'Sante,Corki,Diana,Ahri,Bard,Renekton,Jarvan IV,Syndra,Gwen,Orianna,Dr. Mundo,Ryze,Alistar,Varus,Rell,Braum,0
Lucian,Udyr,Ryze,Nami,Sion,Samira,Volibear,Anivia,Nautilus,Gangplank,Jarvan IV,Orianna,Gwen,Syndra,Dr. Mundo,Yunara,Varus,Wukong,Mel,Viego,0
Corki,Jarvan IV,Azir,Poppy,Galio,Yunara,Xin Zhao,Akali,Alistar,Rumble,Orianna,Malphite,Varus,Yone,Nocturne,Ambessa,Wukong,K'Sante,Vi,Nautilus,1
Varus,Qiyana,Ryze,Rell,Sion,Sivir,Lee Sin,Taliyah,Pantheon,Renekton,Malphite,Orianna,Ambessa,Jayce,Neeko,Yone,Bard,K'Sante,Gnar,Gwen,0
Corki,Vi,Taliyah,Nautilus,Rumble,Sivir,Pantheon,Aurora,Bard,K'Sante,Nocturne,Jarvan IV,Varus,Jayce,Orianna,Ryze,Azir,Aphelios,Ahri,Kai'Sa,0
Lucian,Vi,Akali,Nami,K'Sante,Xayah,Wukong,Ahri,Rakan,Rumble,Varus,Pantheon,Neeko,Nocturne,Orianna,Azir,Poppy,Renata Glasc,Bard,Lulu,1
Yunara,Pantheon,Mel,Lulu,K'Sante,Aphelios,Xin Zhao,Aurora,Bard,Rumble,Jayce,Malphite,Jarvan IV,Ryze,Orianna,Varus,Karma,Syndra,Nami,Taliyah,0
Corki,Jarvan IV,Syndra,Alistar,K'Sante,Ezreal,Vi,Taliyah,Leona,Sion,Varus,Bard,Rumble,Xin Zhao,Neeko,Ryze,Kai'Sa,Nami,Kalista,Ahri,0
Varus,Vi,Akali,Neeko,Ambessa,Sivir,Aatrox,Orianna,Poppy,Yorick,Nocturne,Jarvan IV,Jayce,Dr. Mundo,Ryze,Renekton,Gwen,Malphite,Qiyana,Nautilus,0
